sentence1,sentence2,label
我什么时候还款曰,忘记还款日了,1
还款记录怎么给银行证明,结清证明,1
手动还本期欠款,申请了贷款，还没批复，怎么取消,0
1500逾期罚息一天多少,21日为还款日，是不是21日23点之前还了就不算逾期,0
一千换多钱？,为什么别人花钱能开？,0
但过了十个小时了还没来电话,没有人打电话过来,0
什么时候才能申请,开通借款,0
10000元我借一个月的话到期连本带利要还多少？,如何加入微粒贷,0
身份验证失败,密码输入错误次数过多请第二天再试,0
为什么我只有三千,余额,0
我为什么开户显示失败啊,我开户一直失败,1
不可以提前还吗，,为什么没有提前还款的功能,1
开结清证明,我还清了，能不能给我结清证明,1
为什么我的借款还没有到帐,为什么一直没有接到确认的电话,0
还款是什么时候,还款日,1
利息从哪天算,几天内还款不要利息,0
你们是根据什么评估的,什么叫综合评估,1
不知道什么时候放款,为什么取不出来钱,0
怎么样关闭微粒贷,微粒贷可以取消吗,1
以前的那个银行卡折断了换卡了可以还款吗？,微信上的微粒贷也可以从绑定银行卡嘛,0
更换还款账号,货换卡,0
我欠款推迟了两天怎么办,我怎么查询欠款情况？,0
开通会员卡,什么时候返现,0
借款的钱能用来干什么？,借款可以用于微信消费吗,0
我的微信为啥没有贷款这一功能,违约金是指什么？,0
给我个贷款的机会,你好 我想贷款20万,1
在微信钱包里面吗,什么叫做暂时不支持您的消息格式,0
5开通微粒贷,QQ能不能申请微粒贷？,0
你好，零钱能自动扣款好？,不是微信钱包扣么,1
如果贷款全部还清，可以提供证明吗？,你好可以提供还款结清证明吗？,1
但是打电话都没有给我打过来，什么说没通过吗？,二次借款仍需要电话确认吗,0
卡里有钱～为啥提前还款不成功,我改了银行卡为什么还是不能够还款,0
为什么我的借款失败,为什么显示未通过,1
申请后。多久会打电话确认的？,多久来电话,1
别装傻,我选择农行,0
上面为什么显示我无法借贷,为什么无法借贷,1
你好，借来的可以提现吗,借款不可以提现吗,1
微信软件里有微粒贷吗？,微粒貸介紹,0
不通过审核,却审核不通过,1
这利息怎么算,借款需要支付手续费吗,0
微粒贷的日计息,怎么借贷如何还款利率多少,1
17点是自动扣除？,18号早上扣款不成功,0
微利代怎样记息,微粒贷不管贷多钱利息都是百分之五计算收取吗？,0
我要找你们老板,董事长我们私聊。,1
货款额度多少,最高申请额度多高,1
也没有到账,为何还没到账,1
微信钱包木有显示微粒贷款啊,为什么为什么别人微信都没有，只有我的微信有借钱,1
怎么可以使用,我微信上没有微立款这个。要怎么操作,0
你是什么做的,为什么买金和卖金价格不一样？,0
为啥我没入口,一般什么人获取资格大,0
你好，请问借款可以用于信用卡还款吗？,不能用于购房还有证劵投资 还有呢,0
十万1个月多少率息,月息多少一个月,1
推迟两天  22号还可以么,还款日期延期,0
你好，借款怎么办的,你好请问怎样申请贷款啊,1
董事长,微众银行董事长是谁,1
69000千元，每个月要还多少利息,1:怎么计息,0
能不能更改还款日期,怎么修改还款日期,0
你好，借五个月，如果一个月就还了，利息怎么算,假如我借5000，一个月利息是75元吗,0
我的版本是6.3.8的怎么没看到有微粒贷呢,怎么我这没微粒贷,1
你能截图告诉我怎么还款吗,你是已经扣除我的还款吗,0
为什么我手机6.3.7的都没有,安卓版的也行吗？,0
微众银行怎样具体操作,请问卖座网电影票如何使用,0
为什么我的红包交易挺大，怎么没有额度,为什么开通了微粒，但是没有额度,1
之前绑定的手机号码已更改，怎么更改,如何更改验证的电话号码？,1
二十分钟了，怎么还没到帐？,为什么我没有收到激请,0
为什么信用评估未通过,为何评估不通过,1
1000块逾期一天多少钱,2583逾期一天怎么算利息,1
董事长是谁,你们银行老板是谁啊,1
为什么我的没有通过,为什么会贷款失败？,1
我有一笔借款等银行确认，我现在能取消吗,可以取消借款申请吗,1
怎样取消借款,我刚才有笔贷款，我要取消,1
想请您出具一个结清证明,我还清了这个贷款，帮我开下贷款还清证明,1
15号大概几点自动扣款,13号什么时间扣款？,1
借款后几天能来电,我想问下，借款后，是否有电话咨询,0
